region_name,region_code,reporting_year,reporting_pop,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,pop_in_poverty,spr,pg,estimate_type
Europe & Central Asia,ECA,2001,473220428.5,3,0.12337527644508987,0.049359616598743286,0.02744908241035794,0.07707825400542496,11.06923073143833,58383701,0.286379718658094,5.546882836869498,actual
Europe & Central Asia,ECA,2002,472816388,3,0.1096387030134862,0.04458943513104963,0.024736236681500934,0.0689983895877322,11.79509941952774,51838976,0.27542953372012313,5.179303246165315,actual
Europe & Central Asia,ECA,2003,472823437,3,0.10639131822718838,0.04505536264787004,0.026075414041047452,0.07217545260732719,12.555602405067459,50304309,0.27418766288948604,5.218093511055127,actual
Europe & Central Asia,ECA,2004,472964360.5,3,0.09133076360748064,0.03971633332532878,0.02329733966722207,0.0640399707063765,13.637100544590915,43196196,0.2643682004036842,4.801365835759531,actual
Europe & Central Asia,ECA,2005,473073985.5,3,0.0902387684547953,0.03963752592072399,0.02312116864752983,0.063528429034413,14.488710778300968,42689614,0.25841307968971317,4.626399987321374,actual
Europe & Central Asia,ECA,2006,473393845,3,0.07936322225310964,0.03636041711897312,0.021542661133300556,0.05875206498509588,15.432685288976618,37570061,0.2473309284821848,4.333662603213391,actual
Europe & Central Asia,ECA,2007,473355242.5,3,0.07273906095509329,0.03361336658774957,0.01984287217741317,0.0539605842150969,16.910589368815348,34431416,0.23567401571316773,4.029297435083165,actual
Europe & Central Asia,ECA,2008,474425137,3,0.06692385344858712,0.031222808309248055,0.018376182753253485,0.049835290607884275,18.436310817662633,31750358,0.22429616888537557,3.7125723310269856,actual
Europe & Central Asia,ECA,2009,475994245,3,0.06631393406225078,0.030270725160186536,0.01749094725736533,0.047719655894623375,17.90233741403297,31565051,0.22246592893318062,3.681580607336972,actual
Europe & Central Asia,ECA,2010,477535976,3,0.06646586616916404,0.02998687011545894,0.017113654231314314,0.046948335068907665,18.641721460050103,31739842,0.21852507407088906,3.5911576592039336,actual
Europe & Central Asia,ECA,2011,479340110.5,3,0.06351664134335212,0.028485349895859376,0.01608077380281067,0.044227762171128115,19.24203115011229,30446074,0.2148336146864456,3.456596409433352,actual
Europe & Central Asia,ECA,2012,481381417,3,0.06347209912789338,0.028037500968775927,0.015696079075767467,0.04340717996490485,19.840482667768644,30554289,0.21428229175618468,3.4064363209876865,actual
Europe & Central Asia,ECA,2013,483641334,3,0.01597464254817186,0.004142204721620163,0.0018065455694429348,0.005813941414972377,20.773506130850535,7725997,0.1756263489097607,2.413256775202657,actual
Europe & Central Asia,ECA,2014,485972060.5,3,0.018311676698756153,0.005896097744625593,0.0030134987392866574,0.009185522482120862,20.898845894531995,8898963,0.17800988427690978,2.498869345194795,actual
Europe & Central Asia,ECA,2015,488240473.5,3,0.017226043017770743,0.004879256721587804,0.002264296263428266,0.007060836947356074,20.25299771054157,8410451,0.17308096526579125,2.4549611779464664,actual
Europe & Central Asia,ECA,2016,490513902.5,3,0.013570681384067525,0.004182332558429568,0.002157243436254445,0.006620427497416167,20.368519084004706,6656608,0.17311032530352788,2.424598024227072,actual
Europe & Central Asia,ECA,2017,492644744.5,3,0.01430438268983358,0.00436846924837267,0.002206329670997124,0.006768121780612415,21.006022163956686,7046979,0.169701608817848,2.3534268924974087,actual
Europe & Central Asia,ECA,2018,494657353.5,3,0.011022760920196578,0.0031284119388257626,0.0014546751234218096,0.004568449088317523,21.41952196532756,5452490,0.16314739866090264,2.2359718937170547,actual
Europe & Central Asia,ECA,2019,496759945,3,0.010546040619644242,0.0028966857731825848,0.001280437204562599,0.004097469753444215,22.120463388416685,5238851,0.16292571562435582,2.1681932940098494,actual
Europe & Central Asia,ECA,2020,498113358.5,3,0.011419708653914501,0.0035117676055916717,0.001751348942814011,0.005351482977360941,23.684186652320527,5688309,0.15850585308780066,2.131616481219364,actual
Europe & Central Asia,ECA,2021,497744885,3,0.010848461517409704,0.0035695665781118827,0.0018500906925347828,0.005576382226641721,28.11077528887637,5399766,0.15932696156266987,1.9383041503666698,actual
Europe & Central Asia,ECA,2022,495527570.5,3,0.010636311127080043,0.0036027343002114354,0.001874992146156007,0.005614488625067009,28.58924936855003,5270585,0.1603662067415117,1.9086948430529183,actual
Europe & Central Asia,ECA,2023,493315888,3,0.009637341367588119,0.003340133199019648,0.001773464011039381,0.005272488609539977,30.446270845578113,4754254,0.15782729187204309,1.77373910364298,actual
Europe & Central Asia,ECA,2024,493493112,3,0.009129270253863325,0.0031756814708907895,0.0016877844713495203,0.005010999759130999,31.296799046668035,4505232,0.15657793212241403,1.7267789368212763,nowcast
Europe & Central Asia,ECA,2025,494313347,3,0.008683877874267925,0.0030068499626346155,0.0015999599491129523,0.004742331117571148,31.93824187805197,4292557,0.15556707570724176,1.6920334882262282,nowcast
Latin America & Caribbean,LAC,1981,363707276,3,0.20678515174347437,0.08293929489587695,0.04675243581147222,0.13482938087922655,12.685807886841994,75209264,0.34818031791614673,7.49742451184127,actual
Latin America & Caribbean,LAC,1982,371611051,3,0.21400330539143728,0.08597529757972579,0.048460670555955786,0.13955196839323725,12.564293564327762,79525993,0.35174652247924104,7.623676863418123,actual
Latin America & Caribbean,LAC,1983,379654360,3,0.246785450305228,0.1016706273513685,0.05771046751207846,0.16513069908349828,11.72973640009039,93693172,0.3648430590847303,8.401516613368416,actual
Latin America & Caribbean,LAC,1984,387785677,3,0.2429464850404235,0.09907615770403164,0.05596037232356144,0.1607107874284403,11.81600127515118,94211167,0.36211557363560887,8.305234971866993,actual
Latin America & Caribbean,LAC,1985,395922883,3,0.22615098917680637,0.09156800709303774,0.05166756402291943,0.14882498965255775,11.870390732609465,89538352,0.35723075775889723,7.954611277989802,actual
Latin America & Caribbean,LAC,1986,404042411,3,0.17173671765355972,0.06645231639631213,0.03739631922804384,0.10935224039540317,14.477098661532262,69388917,0.3359948245533474,6.745903028318179,actual
Latin America & Caribbean,LAC,1987,412162093,3,0.20145662066882752,0.08146407527820308,0.04665356264525123,0.13447512390703947,13.143610943048138,83032782,0.34808987812615755,7.529395235528349,actual
Latin America & Caribbean,LAC,1988,420314572,3,0.20677387572883044,0.08676219950154371,0.05095504532548333,0.14586335576035195,12.896921746315655,86910073,0.3478760588098574,7.891745308620895,actual
Latin America & Caribbean,LAC,1989,428474147,3,0.19918050742772314,0.08406036581563768,0.04956973819373752,0.14199177673639318,13.13843288899477,85343698,0.3451172561667882,7.818284899174117,actual
Latin America & Caribbean,LAC,1990,436660341,3,0.21443144999303643,0.0897697507557515,0.05203592190862583,0.14826499796090675,11.991365083239883,93633710,0.35006609855914544,7.929935912216756,actual
Latin America & Caribbean,LAC,1991,444793033,3,0.20758561795144484,0.08652989153057716,0.05028941923247177,0.14379877961019058,11.814561928646883,92332637,0.3456009314129386,7.8398542875066966,actual
Latin America & Caribbean,LAC,1992,452872282,3,0.20875309237475426,0.08731104282473212,0.05133227160828222,0.1469429938449859,11.460215797355652,94538489,0.34514528840129344,8.03745122501657,actual
Latin America & Caribbean,LAC,1993,460906825,3,0.2081610164634046,0.08706479005326315,0.051066588869660735,0.14639122876426336,12.22870986377436,95942833,0.35033069610569295,7.986493463953546,actual
